id,autores,autor_1,autor_2,autor_3,autor_4,autor_5,autor_6,autor_7,autor_8,autor_9,autor_10,autor_11,autor_12,autor_13
1,del Valle M.,del Valle M.,,,,,,,,,,,,
2,de Morales A.,de Morales A.,,,,,,,,,,,,
3,"van Lindert P.,Verkoren O.",van Lindert P.,Verkoren O.,,,,,,,,,,,
4,Arduz G.,Arduz G.,,,,,,,,,,,,
5,Laserna R.,Laserna R.,,,,,,,,,,,,
6,de Echazu M.,de Echazu M.,,,,,,,,,,,,
7,Chacon M.,Chacon M.,,,,,,,,,,,,
8,Roca J.,Roca J.,,,,,,,,,,,,
9,"Pereira Morato R.,Zambrana D.",Pereira Morato R.,Zambrana D.,,,,,,,,,,,
10,Maclean A.,Maclean A.,,,,,,,,,,,,
11,Santos R.,Santos R.,,,,,,,,,,,,
12,Clave L.,Clave L.,,,,,,,,,,,,
13,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
14,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
15,Vargas H.,Vargas H.,,,,,,,,,,,,
16,Bakewell P.,Bakewell P.,,,,,,,,,,,,
17,Sandoval G.,Sandoval G.,,,,,,,,,,,,
18,Valda E.,Valda E.,,,,,,,,,,,,
19,Escobart de Querejazu L.,Escobart de Querejazu L.,,,,,,,,,,,,
20,Solares H.,Solares H.,,,,,,,,,,,,
21,Archondo R.,Archondo R.,,,,,,,,,,,,
22,Beltran E. ,Beltran E. ,,,,,,,,,,,,
23,Paz Ballivian D.,Paz Ballivian D.,,,,,,,,,,,,
24,Zulawski A.,Zulawski A.,,,,,,,,,,,,
25,Paz Ballivian D.,Paz Ballivian D.,,,,,,,,,,,,
26,"Balboa A.,Altamirano J.",Balboa A.,Altamirano J.,,,,,,,,,,,
27,"Kent R.,Benedetti G.,Guardia E.,Valdivia E.",Kent R.,Benedetti G.,Guardia E.,Valdivia E.,,,,,,,,,
28,Barragan R.,Barragan R.,,,,,,,,,,,,
29,Gordillo J.,Gordillo J.,,,,,,,,,,,,
30,Mendoza G.,Mendoza G.,,,,,,,,,,,,
31,"Mayorga F.,Andia L.,Zegada M.,Saravia J.",Mayorga F.,Andia L.,Zegada M.,Saravia J.,,,,,,,,,
32,Maric M.,Maric M.,,,,,,,,,,,,
33,de la Quintana M.,de la Quintana M.,,,,,,,,,,,,
34,Paz Ballivian D.,Paz Ballivian D.,,,,,,,,,,,,
35,Archondo R.,Archondo R.,,,,,,,,,,,,
36,Szmukler A.,Szmukler A.,,,,,,,,,,,,
37,T'inkazos,T'inkazos,,,,,,,,,,,,
38,Yugar M.,Yugar M.,,,,,,,,,,,,
39,"Lungo M.,Baires S.",Lungo M.,Baires S.,,,,,,,,,,,
40,Rocha J. A.,Rocha J. A.,,,,,,,,,,,,
41,Ricaldi T.,Ricaldi T.,,,,,,,,,,,,
42,"Torrico ER.,Gomez Antonio.,Herrera K.",Torrico ER.,Gomez Antonio.,Herrera K.,,,,,,,,,,
43,T'inkazos,T'inkazos,,,,,,,,,,,,
44,"Guaygua G.,Riveros A.,Quisbert M.",Guaygua G.,Riveros A.,Quisbert M.,,,,,,,,,,
45,"Guaygua G.,Riveros A.,Quisbert M.",Guaygua G.,Riveros A.,Quisbert M.,,,,,,,,,,
46,Auza V.,Auza V.,,,,,,,,,,,,
47,Archondo R.,Archondo R.,,,,,,,,,,,,
48,Ledo C.,Ledo C.,,,,,,,,,,,,
49,Archondo R.,Archondo R.,,,,,,,,,,,,
50,Arze J.,Arze J.,,,,,,,,,,,,
51,"Chavez G.,Gray G.,Querejazu V.,Campero J.,Perez de Rada E.,Arauco V.",Chavez G.,Gray G.,Querejazu V.,Campero J.,Perez de Rada E.,Arauco V.,,,,,,,
52,Guaygua G.,Guaygua G.,,,,,,,,,,,,
53,Salman T.,Salman T.,,,,,,,,,,,,
54,"Kruse T.,Lagos M.",Kruse T.,Lagos M.,,,,,,,,,,,
55,Scholz C.,Scholz C.,,,,,,,,,,,,
56,Vargas H.,Vargas H.,,,,,,,,,,,,
57,Prado F.,Prado F.,,,,,,,,,,,,
58,Pruden H.,Pruden H.,,,,,,,,,,,,
59,Sanchez Echevarria M.,Sanchez Echevarria M.,,,,,,,,,,,,
60,Joaquin Carrido,Joaquin Carrido,,,,,,,,,,,,
61,Tapia Montecinos L.,Tapia Montecinos L.,,,,,,,,,,,,
62,"Lea Plaza S.,Paz A.,Vargas X.,Lea Plaza A.",Lea Plaza S.,Paz A.,Vargas X.,Lea Plaza A.,,,,,,,,,
63,Garcia Linera A.,Garcia Linera A.,,,,,,,,,,,,
64,Andersen E.,Andersen E.,,,,,,,,,,,,
65,Torrez Y.,Torrez Y.,,,,,,,,,,,,
66,"Leon Alvestegui G.,Valdez H.,Vasquez Mamani V.",Leon Alvestegui G.,Valdez H.,Vasquez Mamani V.,,,,,,,,,,
67,"Plaza Dorado S.,Vargas Guardia X.,Plaza Torri A.",Plaza Dorado S.,Vargas Guardia X.,Plaza Torri A.,,,,,,,,,,
68,"Peña Hasbun P.,Barahona R.,Rivero Coimbra L.,Gaya D.",Peña Hasbun P.,Barahona R.,Rivero Coimbra L.,Gaya D.,,,,,,,,,
69,"Ros Izquierdo J.,Combes I.",Ros Izquierdo J.,Combes I.,,,,,,,,,,,
70,Lujan M.,Lujan M.,,,,,,,,,,,,
71,"Garitano-Zavala A.,Gismondi P.",Garitano-Zavala A.,Gismondi P.,,,,,,,,,,,
72,Sandoval G.,Sandoval G.,,,,,,,,,,,,
73,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
74,"Floreas Castro F.,Vasquez J.,Iñiguez E.,Soza Aleman V.",Floreas Castro F.,Vasquez J.,Iñiguez E.,Soza Aleman V.,,,,,,,,,
75,"Quintela M.,Arandia M.,Campos P.",Quintela M.,Arandia M.,Campos P.,,,,,,,,,,
76,Rojas G.,Rojas G.,,,,,,,,,,,,
77,Rozo B.,Rozo B.,,,,,,,,,,,,
78,Exeni J.,Exeni J.,,,,,,,,,,,,
79,Balboa A.,Balboa A.,,,,,,,,,,,,
80,Lacombe Z.,Lacombe Z.,,,,,,,,,,,,
81,Hirsch S.,Hirsch S.,,,,,,,,,,,,
82,Lacombe Z.,Lacombe Z.,,,,,,,,,,,,
83,Moreno Valdivia A.,Moreno Valdivia A.,,,,,,,,,,,,
84,Mamani P.,Mamani P.,,,,,,,,,,,,
85,Sanjines J.,Sanjines J.,,,,,,,,,,,,
86,Soto G.,Soto G.,,,,,,,,,,,,
87,Mamani P.,Mamani P.,,,,,,,,,,,,
88,"Gordillo J.,Garrido J.",Gordillo J.,Garrido J.,,,,,,,,,,,
89,"Ramirez A.,Sanchez W.",Ramirez A.,Sanchez W.,,,,,,,,,,,
90,Regalsky P.,Regalsky P.,,,,,,,,,,,,
91,"Cruz R.,Quintanilla R.,Salomon G.",Cruz R.,Quintanilla R.,Salomon G.,,,,,,,,,,
92,Crespo C.,Crespo C.,,,,,,,,,,,,
93,Vargas G.,Vargas G.,,,,,,,,,,,,
94,Perez L.,Perez L.,,,,,,,,,,,,
95,Ticona E.,Ticona E.,,,,,,,,,,,,
96,"Lopez A.,Jemio Peralta R.,Chuquimia Velez E.",Lopez A.,Jemio Peralta R.,Chuquimia Velez E.,,,,,,,,,,
97,"Peñaranda K.,Flores X.,Arandia A.",Peñaranda K.,Flores X.,Arandia A.,,,,,,,,,,
98,"Arratia O.,Uberhuanga P.,Garcia M.",Arratia O.,Uberhuanga P.,Garcia M.,,,,,,,,,,
99,"Barrientos A.,Benavides M.,Serrano M.",Barrientos A.,Benavides M.,Serrano M.,,,,,,,,,,
100,Amelunge M.,Amelunge M.,,,,,,,,,,,,
101,Komadina J.,Komadina J.,,,,,,,,,,,,
102,Peña C.,Peña C.,,,,,,,,,,,,
103,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
104,Samanamud J.,Samanamud J.,,,,,,,,,,,,
105,"Collazos E.,Gamboa W.,Prado P.,Verardi V.",Collazos E.,Gamboa W.,Prado P.,Verardi V.,,,,,,,,,
106,Blanes J.,Blanes J.,,,,,,,,,,,,
107,"Cajias F.,Barragan R.,Cajias M.,Medinaceli X.",Cajias F.,Barragan R.,Cajias M.,Medinaceli X.,,,,,,,,,
108,"Samanamud J.,Cardenas C.,Prieto P.",Samanamud J.,Cardenas C.,Prieto P.,,,,,,,,,,
109,"Moreno Valdivia A.,Moreno Valdivia I.,Colomo M.",Moreno Valdivia A.,Moreno Valdivia I.,Colomo M.,,,,,,,,,,
110,"Flores Vasquez J.,Herbas Cuevas I.,Huanca Aliaga F.",Flores Vasquez J.,Herbas Cuevas I.,Huanca Aliaga F.,,,,,,,,,,
111,"Yampara Huarachi S.,Mamani Morales S.,Calancha Layme N.",Yampara Huarachi S.,Mamani Morales S.,Calancha Layme N.,,,,,,,,,,
112,"Duran Chuquimia J.,Arias Diaz V.,Rodriguez Caceres G.",Duran Chuquimia J.,Arias Diaz V.,Rodriguez Caceres G.,,,,,,,,,,
113,"Mollericona J.,Tinini N.,Paredes A.",Mollericona J.,Tinini N.,Paredes A.,,,,,,,,,,
114,"Mendez Padilla A.,Perez Sanchez R.",Mendez Padilla A.,Perez Sanchez R.,,,,,,,,,,,
115,"Gordillo J.,Rivera A.,Sulcata A.",Gordillo J.,Rivera A.,Sulcata A.,,,,,,,,,,
116,"Achi A.,Delgado M.",Achi A.,Delgado M.,,,,,,,,,,,
117,"Suarez Coronel E.,Sanchez R.",Suarez Coronel E.,Sanchez R.,,,,,,,,,,,
118,Mollericona J.,Mollericona J.,,,,,,,,,,,,
119,Aillon E.,Aillon E.,,,,,,,,,,,,
120,Bridikhina E.,Bridikhina E.,,,,,,,,,,,,
121,Rodriguez N.,Rodriguez N.,,,,,,,,,,,,
122,Antequera N.,Antequera N.,,,,,,,,,,,,
123,Blanes J.,Blanes J.,,,,,,,,,,,,
124,Esposito C.,Esposito C.,,,,,,,,,,,,
125,Miranda M.,Miranda M.,,,,,,,,,,,,
126,"Alvarez R.,Alzerreca J.,Bolivar H.,Camacho J.,Reque J.,Sejas O",Alvarez R.,Alzerreca J.,Bolivar H.,Camacho J.,Reque J.,Sejas O,,,,,,,
127,Rivas S.,Rivas S.,,,,,,,,,,,,
128,Lopez J.,Lopez J.,,,,,,,,,,,,
129,Bolivar H.,Bolivar H.,,,,,,,,,,,,
130,Antequera N.,Antequera N.,,,,,,,,,,,,
131,Barragan R.,Barragan R.,,,,,,,,,,,,
132,Salazar de la Torre C.,Salazar de la Torre C.,,,,,,,,,,,,
133,"Cardenas C.,Medinaceli X.,Soux M.,Iño W.",Cardenas C.,Medinaceli X.,Soux M.,Iño W.,,,,,,,,,
134,"Barragan R.,Derpic J.",Barragan R.,Derpic J.,,,,,,,,,,,
135,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
136,Gallardo G.,Gallardo G.,,,,,,,,,,,,
137,"Prado F.,Feldis J.,Solares H.,Gallardo G.,Mazurek H.",Prado F.,Feldis J.,Solares H.,Gallardo G.,Mazurek H.,,,,,,,,
138,Prado F.,Prado F.,,,,,,,,,,,,
139,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
140,"Rodriguez Ostria G.,Solares H.,Zabala H.",Rodriguez Ostria G.,Solares H.,Zabala H.,,,,,,,,,,
141,Prado I.,Prado I.,,,,,,,,,,,,
142,Chirino A.,Chirino A.,,,,,,,,,,,,
143,Gordillo J.,Gordillo J.,,,,,,,,,,,,
144,Giraldo C.,Giraldo C.,,,,,,,,,,,,
145,"Revilla C.,Arteaga W.,Esposito C.",Revilla C.,Arteaga W.,Esposito C.,,,,,,,,,,
146,Torrico E.,Torrico E.,,,,,,,,,,,,
147,Antequera N.,Antequera N.,,,,,,,,,,,,
148,Equipo CEDIB,Equipo CEDIB,,,,,,,,,,,,
149,Antequera N.,Antequera N.,,,,,,,,,,,,
150,Roca I.,Roca I.,,,,,,,,,,,,
151,CEDIB,CEDIB,,,,,,,,,,,,
152,Luna Acevedo H.,Luna Acevedo H.,,,,,,,,,,,,
153,Jurado E.,Jurado E.,,,,,,,,,,,,
154,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
155,Bolivar H.,Bolivar H.,,,,,,,,,,,,
156,"Villegas M.,Garitano-Zavala A.",Villegas M.,Garitano-Zavala A.,,,,,,,,,,,
157,Arbona J.,Arbona J.,,,,,,,,,,,,
158,Souchaud S.,Souchaud S.,,,,,,,,,,,,
159,Cordova E.,Cordova E.,,,,,,,,,,,,
160,Cordova E.,Cordova E.,,,,,,,,,,,,
161,Ramirez A.,Ramirez A.,,,,,,,,,,,,
162,Mazurek H.,Mazurek H.,,,,,,,,,,,,
163,"Pattaroni L.,Kaufmann V.,Pedrazzani Y.,Bolay J.,Rabinovich A.",Pattaroni L.,Kaufmann V.,Pedrazzani Y.,Bolay J.,Rabinovich A.,,,,,,,,
164,Pereira Morato R.,Pereira Morato R.,,,,,,,,,,,,
165,Ledo C.,Ledo C.,,,,,,,,,,,,
166,Peña C.,Peña C.,,,,,,,,,,,,
167,"Gordillo J.,Rivera A.",Gordillo J.,Rivera A.,,,,,,,,,,,
168,Barragan R.,Barragan R.,,,,,,,,,,,,
169,Bigenbo M.,Bigenbo M.,,,,,,,,,,,,
170,Prado F.,Prado F.,,,,,,,,,,,,
171,"Roncken T.,Alquizalet O.,Cielo C.,Cespedes R.,Serrudo Y.",Roncken T.,Alquizalet O.,Cielo C.,Cespedes R.,Serrudo Y.,,,,,,,,
172,"Martinelly E.,Choque V.,Martinelly W.",Martinelly E.,Choque V.,Martinelly W.,,,,,,,,,,
173,"Rodriguez Ostria G.,Solares H.,Zabala Canedo M.,Gonzales Sandoval E.",Rodriguez Ostria G.,Solares H.,Zabala Canedo M.,Gonzales Sandoval E.,,,,,,,,,
174,"Mejia G.,Sanchez Patzy M.,Quispe Escobar A.",Mejia G.,Sanchez Patzy M.,Quispe Escobar A.,,,,,,,,,,
175,"Bogado D.,Fabricano A.,Noe Rosales M.",Bogado D.,Fabricano A.,Noe Rosales M.,,,,,,,,,,
176,"Lara A.,Garcia D.,Villca J.",Lara A.,Garcia D.,Villca J.,,,,,,,,,,
177,"Pereira Morato R.,Bridikhina E.,Montaño J.,Blanco R.",Pereira Morato R.,Bridikhina E.,Montaño J.,Blanco R.,,,,,,,,,
178,Peña Hasbun P.,Peña Hasbun P.,,,,,,,,,,,,
179,Prado Robles G.,Prado Robles G.,,,,,,,,,,,,
180,"Saldias E.,Moreira M.",Saldias E.,Moreira M.,,,,,,,,,,,
181,Pinto Mosqueira G.,Pinto Mosqueira G.,,,,,,,,,,,,
182,"Peña Hasbun P.,Barahona R.,Rivero E.,Gaya D.",Peña Hasbun P.,Barahona R.,Rivero E.,Gaya D.,,,,,,,,,
183,"Sandoval D.,Iñiguez E.",Sandoval D.,Iñiguez E.,,,,,,,,,,,
184,"Sandoval D.,Iñiguez E.",Sandoval D.,Iñiguez E.,,,,,,,,,,,
185,Absi P.,Absi P.,,,,,,,,,,,,
186,Rojas G.,Rojas G.,,,,,,,,,,,,
187,Olarte K.,Olarte K.,,,,,,,,,,,,
188,Cielo C.,Cielo C.,,,,,,,,,,,,
189,Peñafiel O.,Peñafiel O.,,,,,,,,,,,,
190,Blanes J.,Blanes J.,,,,,,,,,,,,
191,Revilla C.,Revilla C.,,,,,,,,,,,,
192,Martinelly E.,Martinelly E.,,,,,,,,,,,,
193,"Carazas M.,Icuña S.,Apaza N.",Carazas M.,Icuña S.,Apaza N.,,,,,,,,,,
194,Aleman Vargas L.,Aleman Vargas L.,,,,,,,,,,,,
195,Bolivar H.,Bolivar H.,,,,,,,,,,,,
196,Poupeau F.,Poupeau F.,,,,,,,,,,,,
197,Cajias F.,Cajias F.,,,,,,,,,,,,
198,Bastia T.,Bastia T.,,,,,,,,,,,,
199,Scarborough I.,Scarborough I.,,,,,,,,,,,,
200,Ortiz F.,Ortiz F.,,,,,,,,,,,,
201,Perez J.,Perez J.,,,,,,,,,,,,
202,Nogueira M.,Nogueira M.,,,,,,,,,,,,
203,"Cardenas Plaza R.,Mamani Aruquipa E.,Sejas Rivero S.",Cardenas Plaza R.,Mamani Aruquipa E.,Sejas Rivero S.,,,,,,,,,,
204,"Chirino F.,Jauregui M.,Nelson J.,Hollweg K.",Chirino F.,Jauregui M.,Nelson J.,Hollweg K.,,,,,,,,,
205,Baldivieso D.,Baldivieso D.,,,,,,,,,,,,
206,Brañez P.,Brañez P.,,,,,,,,,,,,
207,Esposito C.,Esposito C.,,,,,,,,,,,,
208,"Cielo C.,Cespedes R.",Cielo C.,Cespedes R.,,,,,,,,,,,
209,"Rodriguez Ostria G.,Solares H.,Zabala M.",Rodriguez Ostria G.,Solares H.,Zabala M.,,,,,,,,,,
210,Calla A.,Calla A.,,,,,,,,,,,,
211,Bogado D.,Bogado D.,,,,,,,,,,,,
212,Torrico E.,Torrico E.,,,,,,,,,,,,
213,Avendaño F.,Avendaño F.,,,,,,,,,,,,
214,Linsalata L.,Linsalata L.,,,,,,,,,,,,
215,"Deledicque M.,Contartese D.",Deledicque M.,Contartese D.,,,,,,,,,,,
216,Yepez O.,Yepez O.,,,,,,,,,,,,
217,Chavez M.,Chavez M.,,,,,,,,,,,,
218,Zibechi R.,Zibechi R.,,,,,,,,,,,,
219,Blanco C.,Blanco C.,,,,,,,,,,,,
220,Equipo de Investigadores del Instituto de Investigaciones de Arquitectura,Equipo de Investigadores del Instituto de Investigaciones de Arquitectura,,,,,,,,,,,,
221,Bolivar H.,Bolivar H.,,,,,,,,,,,,
222,Groulx B.,Groulx B.,,,,,,,,,,,,
223,"Dulon J.,Omonte A.",Dulon J.,Omonte A.,,,,,,,,,,,
224,Solares H.,Solares H.,,,,,,,,,,,,
225,Soruco A.,Soruco A.,,,,,,,,,,,,
226,Soruco X.,Soruco X.,,,,,,,,,,,,
227,Torrico E.,Torrico E.,,,,,,,,,,,,
228,Blanco C.,Blanco C.,,,,,,,,,,,,
229,Salamanca L.,Salamanca L.,,,,,,,,,,,,
230,Mendoza H.,Mendoza H.,,,,,,,,,,,,
231,Maldonado C.,Maldonado C.,,,,,,,,,,,,
232,Landaeta G.,Landaeta G.,,,,,,,,,,,,
233,Zabaleta R.,Zabaleta R.,,,,,,,,,,,,
234,"Benavides M.,Serrano M.",Benavides M.,Serrano M.,,,,,,,,,,,
235,"Mollericona J.,Copa J.,Cadena M.",Mollericona J.,Copa J.,Cadena M.,,,,,,,,,,
236,"Llanque R.,Villca E.",Llanque R.,Villca E.,,,,,,,,,,,
237,"Cielo C.,Vasquez F.",Cielo C.,Vasquez F.,,,,,,,,,,,
238,Antequera N.,Antequera N.,,,,,,,,,,,,
239,Nuñez-Villalba J.,Nuñez-Villalba J.,,,,,,,,,,,,
240,Jorgensen K.,Jorgensen K.,,,,,,,,,,,,
241,Dolph C.,Dolph C.,,,,,,,,,,,,
242,Achi A.,Achi A.,,,,,,,,,,,,
